File Type,File Size,Encryption Time,Decryption Time
png,1935,0.0,0.0
png,2325,0.0,0.0
png,1928,0.0,0.0
png,2014,0.0,0.0
png,1281,0.0,0.0
png,3323,0.0,0.0
png,2639,0.0,0.0
png,3264,6.603240966796875,0.6711483001708984
png,4447,0.9968280792236328,0.3807544708251953
png,3484,0.0,1.1136531829833984
png,4003,0.0,1.0716915130615234
png,4202,0.997304916381836,0.0
png,3884,0.9982585906982422,0.0
png,1627,0.0,0.0
png,2700,0.0,0.0
png,1026,0.9996891021728516,0.0
png,3806,0.0,0.0
png,2828,0.0,0.0
png,2538,0.0,1.142263412475586
png,3007,0.9977817535400392,0.0
png,2611,0.0,0.0
png,2557,0.0,0.9968280792236328
png,3042,0.0,0.0
png,2866,1.0046958923339844,0.0
png,761,0.0,0.0
png,4092,0.0,0.0
png,4812,0.0,0.0
png,1203,0.0,0.0
png,4291,0.0,0.0
png,3485,0.0,0.0
png,3709,0.0,0.9987354278564452
png,854,0.0,0.0
png,2687,1.10626220703125,0.0
png,2008,0.0,0.0
png,1684,0.989675521850586,0.0
png,3816,0.0,0.0
png,3845,0.9977817535400392,0.0
png,1751,0.9965896606445312,0.0
png,1756,0.0,0.0
png,1491,1.020669937133789,0.0
png,4273,0.0,0.0
png,1042,0.0,0.0
png,1987,0.0,0.0
png,1542,0.0,0.0
png,922,0.0,0.0
png,1949,0.0,0.0
png,1685,0.0,0.0
png,1282,0.0,0.0
png,3212,0.0,0.0
png,2096,0.0,0.0
png,2459,0.0,0.0
png,2395,0.0,0.0
png,1442,0.0,0.0
png,3313,0.4067420959472656,0.0
png,1126,0.0,0.0
png,1937,1.0232925415039062,0.0
png,2024,0.0,0.0
png,1628,1.0018348693847656,0.0
png,836,0.0,0.0
png,1465,0.996112823486328,0.0
png,1963,0.0,0.0
png,2362,0.0,0.997304916381836
png,961,0.0,0.0
png,4607,0.0,0.0
png,4923,1.001596450805664,0.0
png,3720,0.0,0.997304916381836
png,2289,0.0,0.0
png,1352,1.0476112365722656,0.0
png,2396,0.0,0.0
png,2959,0.946044921875,0.0
png,1577,0.7746219635009766,0.0
png,2862,0.0,0.0
png,1384,0.0,0.0
png,1132,0.0,0.0
png,2388,0.0,0.0
png,2023,0.0,0.0
png,1873,0.0,0.0
png,2149,0.0,0.0
png,4152,0.0,0.997304916381836
png,1083,0.0,0.0
png,2884,0.0,1.0461807250976562
png,2479,0.0,0.0
png,1546,0.9486675262451172,0.0
png,2186,0.0,0.0
png,3304,0.997304916381836,0.0
png,4306,0.7550716400146484,0.0
png,3400,0.0,0.0
png,1327,0.986337661743164,0.0
png,1257,0.0,0.0
png,3214,0.997304916381836,0.0
png,2086,0.0,0.0
png,2127,0.0,0.0
png,1528,0.0,0.0
png,1641,0.051736831665039,0.0
png,2501,0.0,0.0
png,1702,0.0,0.0
png,1666,0.0,0.0
png,1942,0.997304916381836,0.0
png,4384,0.0,0.997304916381836
png,2806,0.0,0.0
