File Type,File Size,Encryption Time,Decryption Time
mp3,187170,0.011968,0.009973
mp3,111822,0.009377,0.014531
mp3,200274,0.018876,0.014745
mp3,200274,0.017081,0.009059
mp3,95728,0.006528,0.020384
mp3,70118,0.008417,0.015852
mp3,132570,0.007571,0.012412
mp3,70118,0.013307,0.011928
mp3,57273,0.009494,0.010072
mp3,247334,0.007926,0.011544
mp3,111822,0.011583,0.013151
mp3,111822,0.011725,0.017108
mp3,222218,0.015582,0.018101
mp3,178642,0.015678,0.018526
mp3,99680,0.012647,0.010252
mp3,74512,0.008725,0.011993
mp3,74512,0.006176,0.013395
mp3,178642,0.010814,0.01002
mp3,111822,0.010973,0.007169
mp3,204589,0.012258,0.014551
mp3,78985,0.00751,0.010811
mp3,208984,0.012561,0.010992
mp3,145389,0.009007,0.011963
mp3,200274,0.022096,0.011753
mp3,120012,0.011968,0.01674
mp3,208984,0.012981,0.014569
mp3,222218,0.013348,0.016948
mp3,132570,0.009975,0.016984
mp3,255628,0.011938,0.036901
mp3,153864,0.011968,0.013434
mp3,238884,0.013234,0.016218
mp3,116009,0.010969,0.024425
mp3,43702,0.012485,0.010093
mp3,107792,0.011451,0.012368
mp3,243148,0.010958,0.015966
mp3,99680,0.010606,0.017311
mp3,95728,0.011974,0.01003
mp3,238884,0.01303,0.010859
mp3,226456,0.010956,0.023209
mp3,95728,0.011061,0.016334
mp3,57273,0.00798,0.009973
mp3,128384,0.007679,0.019418
mp3,91438,0.002888,0.017995
mp3,226456,0.001994,0.021884
mp3,217850,0.009628,0.010689
mp3,87278,0.003274,0.065541
mp3,255628,0.011819,0.011119
mp3,222218,0.012965,0.030999
mp3,217850,0.009704,0.008209
mp3,162080,0.007935,0.008513
mp3,48565,0.007446,0.00904
mp3,61616,0.005919,0.005984
mp3,43702,0.008978,0.007976
mp3,157946,0.018369,0.001872
mp3,255628,0.000995,0.023179
mp3,251651,0.001993,0.015661
mp3,57273,0.00307,0.012005
mp3,191407,0.001995,0.016742
mp3,70118,0.000993,0.007305
mp3,57273,0.001993,0.007022
mp3,95728,0.0212,0.003685
mp3,91438,0.001993,0.008137
mp3,157946,0.016953,0.01224
mp3,255628,0.009701,0.0101
mp3,222218,0.004745,0.011382
mp3,136756,0.007978,0.007928
mp3,128384,0.007979,0.010141
mp3,170270,0.001995,0.017922
mp3,99680,0.006981,0.007979
mp3,191407,0.009339,0.004624
mp3,230668,0.008126,0.008452
mp3,52932,0.008658,0.008348
mp3,103658,0.008999,0.006758
mp3,170270,0.012086,0.021246
mp3,57273,0.003018,0.004925
mp3,157946,0.017009,0.013105
mp3,141072,0.001992,0.023011
mp3,78985,0.009973,0.011889
mp3,52932,0.006915,0.003946
mp3,178642,0.014026,0.020103
mp3,230668,0.000997,0.009588
mp3,107792,0.008819,0.001993
mp3,178642,0.001991,0.017198
mp3,162080,0.000995,0.010432
mp3,187170,0.000996,0.010111
mp3,187170,0.008209,0.001993
mp3,52932,0.008906,0.007726
mp3,95728,0.008707,0.007785
mp3,222218,0.001993,0.009818
mp3,247334,0.001992,0.009747
mp3,251651,0.001993,0.008236
mp3,57273,0.008798,0.007154
mp3,157946,0.001993,0.022812
mp3,230668,0.007821,0.007976
mp3,111822,0.004987,0.007979
mp3,191407,0.001995,0.014033
mp3,65880,0.002175,0.008995
mp3,103658,0.0083,0.001994
mp3,170270,0.010709,0.024229
mp3,52932,0.001993,0.006633
