File Type,File Size,Encryption Time(ms),Decryption Time(ms)
txt,10066,0.0,0.0
txt,1020936,4.992008209228516,6.007194519042969
txt,111136,0.0,1.0178089141845703
txt,1121799,6.000757217407227,7.002115249633789
txt,1223002,6.998538970947266,8.006572723388672
txt,1324168,7.983207702636719,8.00180435180664
txt,1425166,9.006261825561523,9.992837905883787
txt,1526282,8.999109268188477,10.000228881835938
txt,1627289,11.006832122802734,8.998394012451172
txt,1728254,10.99228858947754,9.996652603149414
txt,1829529,11.006355285644531,11.99197769165039
txt,1930559,13.002872467041016,13.99374008178711
txt,2031702,10.999441146850586,11.998176574707031
txt,212201,2.001285552978516,3.000020980834961
txt,2132589,11.988162994384766,12.006282806396484
txt,2233823,12.012243270874023,12.989282608032228
txt,2334905,16.996145248413086,17.995834350585938
txt,2435887,15.996694564819336,16.018390655517578
txt,2536984,18.99433135986328,22.006511688232425
txt,2638132,21.009206771850582,18.99075508117676
txt,2739131,15.000104904174805,19.00458335876465
txt,2840341,19.995450973510746,24.005651473999023
txt,2941397,21.001100540161133,16.9985294342041
txt,3042297,17.004013061523438,20.007848739624023
txt,313269,2.9790401458740234,2.012491226196289
txt,3143576,27.02975273132324,33.037424087524414
txt,3244535,29.5562744140625,35.21609306335449
txt,3345667,25.681257247924805,48.050642013549805
txt,3446740,13.999462127685549,15.00535011291504
txt,3547805,17.003297805786133,14.99032974243164
txt,3648924,10.00833511352539,9.987831115722656
txt,3749790,26.005268096923828,33.99372100830078
txt,3851064,26.00550651550293,32.004356384277344
txt,3952058,35.00509262084961,33.000946044921875
txt,4053076,46.9968318939209,66.00689888000488
txt,414338,3.9925575256347656,1.9962787628173828
txt,4154226,22.9952335357666,55.00626564025879
txt,4255215,28.01680564880371,65.9945011138916
txt,4356327,14.987468719482422,18.018007278442383
txt,4457481,15.002012252807615,18.999814987182617
txt,4558627,27.00209617614746,31.991958618164062
txt,4659695,28.018951416015625,28.998374938964844
txt,4760692,47.00446128845215,83.00113677978516
txt,4861903,44.00515556335449,52.99568176269531
txt,4962874,28.006792068481445,29.990196228027344
txt,5063926,33.972978591918945,31.01062774658203
txt,515442,3.9987564086914062,4.000186920166016
txt,5164975,32.99999237060547,40.99249839782715
txt,5265976,38.99884223937988,33.992767333984375
txt,5367175,32.998085021972656,35.00080108642578
txt,5468270,33.982276916503906,34.0123176574707
txt,5569451,40.99750518798828,56.98657035827637
txt,5670575,40.98916053771973,78.99332046508789
txt,5771621,40.566444396972656,47.20926284790039
txt,5872593,33.00118446350098,30.003786087036133
txt,5973743,67.01159477233887,64.99671936035156
txt,6074631,55.00292778015137,43.00069808959961
txt,616535,5.005598068237305,5.001068115234375
txt,6175786,52.994489669799805,57.00564384460449
txt,6276900,37.009239196777344,52.98757553100586
txt,6377919,36.99254989624024,35.99953651428223
txt,6478940,41.91493988037109,55.00054359436035
txt,6580173,36.00406646728516,38.98954391479492
txt,6681138,41.99743270874024,48.9954948425293
txt,6782180,97.99528121948242,116.00494384765624
txt,6883233,38.01298141479492,60.99963188171387
txt,6984532,49.997806549072266,46.99230194091797
txt,7085512,32.99689292907715,38.01584243774414
txt,717653,6.989240646362305,4.997014999389648
txt,7186741,40.99702835083008,53.00760269165039
txt,7287718,44.57402229309082,42.00339317321777
txt,7388971,53.00188064575195,55.99832534790039
txt,7489949,56.99563026428223,57.03330039978027
txt,7590991,68.5415267944336,52.99711227416992
txt,7692046,55.006980895996094,54.99005317687988
txt,7793125,43.98965835571289,52.00052261352539
txt,7893991,59.9820613861084,59.00478363037109
txt,7995218,52.00028419494629,68.99547576904297
txt,8096293,51.98073387145996,58.99500846862793
txt,818669,5.995750427246094,5.995750427246094
txt,8197338,81.98928833007812,100.99554061889648
txt,8298457,58.99548530578613,56.01096153259277
txt,8399478,50.00853538513184,57.00063705444336
txt,8500642,53.99632453918457,54.9924373626709
txt,8601751,59.25869941711426,55.00006675720215
txt,8702567,57.00016021728516,60.00781059265137
txt,8803842,74.99313354492188,90.00611305236816
txt,8904776,54.99410629272461,54.98218536376953
txt,9005876,51.99790000915527,57.99746513366699
txt,9107104,59.00716781616211,83.99438858032227
txt,919766,8.996725082397461,9.996652603149414
txt,9208064,54.00538444519043,73.98772239685059
txt,9309337,52.75726318359375,67.99888610839844
txt,9410198,57.00373649597168,57.00182914733887
txt,9511520,56.99753761291504,58.000802993774414
txt,9612396,60.99963188171387,63.99989128112793
txt,9713759,65.99926948547363,60.99700927734375
txt,9814539,63.44103813171387,58.81619453430176
txt,9915595,58.99405479431152,85.00838279724121
txt,10017035,70.59717178344727,74.51868057250977
