File Type,File Size,Encryption Time(ms),Decryption Time(ms)
mp4,35926,2.0089149475097656,2.990245819091797
mp4,47672,1.0073184967041016,1.024007797241211
mp4,42943,0.0,0.0
mp4,35926,0.0,0.0
mp4,14845,0.0,0.0
mp4,14088,1.01470947265625,0.0
mp4,20347,0.0,0.0
mp4,18817,0.0,0.0
mp4,44473,0.0,0.0
mp4,35926,0.0,0.0
mp4,39883,0.993967056274414,0.0
mp4,45246,1.0030269622802734,0.0
mp4,41413,0.0,0.0
mp4,44473,1.007080078125,0.0
mp4,32866,0.9832382202148438,0.0
mp4,14845,0.0,0.0
mp4,13315,0.0,0.9975433349609376
mp4,21104,0.0,0.0
mp4,44473,0.0,0.0
mp4,34396,0.0,0.0
mp4,20347,0.0,1.0006427764892578
mp4,15618,0.0,0.0
mp4,50732,0.9903907775878906,0.0
mp4,42186,0.0,0.0
mp4,11028,0.0,0.996112823486328
mp4,20347,0.0,0.0
mp4,43716,0.0,0.0
mp4,30424,0.0,0.0
mp4,20347,0.0,0.0
mp4,34396,0.0,0.9927749633789062
mp4,29667,0.9846687316894532,0.0
mp4,26607,0.0,0.0
mp4,46915,0.0,0.9949207305908204
mp4,32866,0.0,0.0
mp4,32093,0.9992122650146484,0.0
mp4,40656,0.0,1.002788543701172
mp4,54705,0.0,0.0
mp4,36683,0.0,0.0
mp4,54705,0.9949207305908204,0.0
mp4,12558,0.0,0.0
mp4,48445,0.0,0.9944438934326172
mp4,29667,0.0,0.0
mp4,45246,0.0,0.0
mp4,28137,0.0,1.0018348693847656
mp4,36683,1.0013580322265625,0.0
mp4,41413,1.0006427764892578,0.0
mp4,42943,0.0,0.0
mp4,18044,0.0,0.9992122650146484
mp4,44473,0.0,1.0020732879638672
mp4,27364,0.0,0.0
mp4,22634,0.0,0.0
mp4,47672,0.9989738464355468,0.0
mp4,18817,1.0023117065429688,0.0
mp4,18044,0.0,0.0
mp4,41413,0.0,1.0159015655517578
mp4,48445,0.0,1.0013580322265625
mp4,47672,0.0,0.0
mp4,53932,0.0,0.9927749633789062
mp4,28894,0.0,1.0101795196533203
mp4,18817,0.0,0.0
mp4,18817,0.9734630584716796,0.0
mp4,49202,0.99945068359375,0.0
mp4,49202,0.9770393371582032,1.0006427764892578
mp4,18044,1.003265380859375,0.0
mp4,26607,0.0,1.0044574737548828
mp4,25077,0.9963512420654296,0.0
mp4,46915,0.0,0.9987354278564452
mp4,54705,0.995635986328125,0.0
mp4,12558,0.0,1.0004043579101562
mp4,39883,0.9982585906982422,0.0
mp4,11028,0.0,0.0
mp4,13315,0.0,0.0
mp4,11785,0.0,0.0
mp4,12558,0.0,0.0
mp4,37456,0.9946823120117188,0.0
mp4,29667,0.0,0.995159149169922
mp4,11785,0.0,0.9975433349609376
mp4,20347,0.9982585906982422,0.0
mp4,14088,0.0,0.0
mp4,29667,0.0,1.0020732879638672
mp4,49975,0.0,0.9882450103759766
mp4,21104,0.0,0.0
mp4,18817,0.0,0.0
mp4,36683,0.0,1.001119613647461
mp4,52262,0.0,1.0068416595458984
mp4,19574,0.0,0.9953975677490234
mp4,13315,0.0,0.0
mp4,25077,0.0,0.0
mp4,11785,0.0,0.0
mp4,36683,1.0068416595458984,0.0
mp4,46915,0.9868144989013672,0.9984970092773438
mp4,40656,0.0,0.9982585906982422
mp4,25834,0.987529754638672,0.0
mp4,37456,0.9992122650146484,0.0
mp4,15618,0.0,1.0085105895996094
mp4,54705,0.0,1.001596450805664
mp4,22634,0.0,0.0
mp4,36683,0.9989738464355468,0.5772113800048828
mp4,22634,0.0,0.0
mp4,52262,0.9984970092773438,0.0
